sum,place
519105439.5263842,"Abilene city, Texas"
959903696.8299435,"Akron city, Ohio"
2582902469.381263,"Albuquerque city, New Mexico"
451399701.5528631,"Alexandria city, Virginia"
144709567.19702125,"Allentown city, Pennsylvania"
865185094.6734574,"Amarillo city, Texas"
1642172846.774296,"Anaheim city, California"
403722988.05625165,"Ann Arbor city, Michigan"
212907308.94756675,"Antioch city, California"
832137824.5281746,"Arlington CDP, Virginia"
1529803827.807304,"Arlington city, Texas"
177688462.07584274,"Arvada city, Colorado"
494049182.6754008,"Athens-Clarke County unified government (balance), Georgia"
4402111785.99927,"Atlanta city, Georgia"
1001540590.5455664,"Augusta-Richmond County consolidated government (balance), Georgia"
1339979926.4326174,"Aurora city, Colorado"
394158467.2252112,"Aurora city, Illinois"
6435022011.016347,"Austin city, Texas"
955545065.4456818,"Bakersfield city, California"
1620124805.0686862,"Baltimore city, Maryland"
1310820969.9832425,"Baton Rouge city, Louisiana"
998746309.2033867,"Beaumont city, Texas"
1027122356.7264203,"Bellevue city, Washington"
170268665.2815172,"Berkeley city, California"
206467440.38137665,"Billings city, Montana"
1953143524.2948842,"Birmingham city, Alabama"
1166342905.717608,"Boise City city, Idaho"
1526256356.010923,"Boston city, Massachusetts"
395284656.56651855,"Boulder city, Colorado"
548135361.2698356,"Brandon CDP, Florida"
285507030.7420941,"Bridgeport city, Connecticut"
382721099.8797115,"Broken Arrow city, Oklahoma"
563195608.9803658,"Brownsville city, Texas"
490662683.60155416,"Buffalo city, New York"
430166320.4489999,"Burbank city, California"
115750046.92105319,"Cambridge city, Massachusetts"
198396135.48484203,"Cape Coral city, Florida"
527207891.21743184,"Carlsbad city, California"
937536018.7533855,"Carrollton city, Texas"
456846114.8314924,"Cary town, North Carolina"
827427149.3123645,"Cedar Rapids city, Iowa"
277223815.4250737,"Centennial city, Colorado"
944528516.9106277,"Chandler city, Arizona"
787569528.2023468,"Charleston city, South Carolina"
3899699558.1726017,"Charlotte city, North Carolina"
1416180361.5349643,"Chattanooga city, Tennessee"
1347177467.1373386,"Chesapeake city, Virginia"
6579243256.751292,"Chicago city, Illinois"
878584584.2654742,"Chula Vista city, California"
1530327153.5293994,"Cincinnati city, Ohio"
534053138.4629583,"Clarksville city, Tennessee"
227160899.64478168,"Clearwater city, Florida"
1783577090.0210292,"Cleveland city, Ohio"
185935638.0404459,"Clovis city, California"
432863696.8870584,"College Station city, Texas"
1730716408.5890963,"Colorado Springs city, Colorado"
523289535.282077,"Columbia CDP, Maryland"
472694211.5140226,"Columbia city, Missouri"
1047003199.317659,"Columbia city, South Carolina"
869881494.6775564,"Columbus city, Georgia"
5212145076.015641,"Columbus city, Ohio"
328811770.76415473,"Concord city, California"
277974722.0702363,"Coral Springs city, Florida"
732953473.7857996,"Corona city, California"
1836569479.5756555,"Corpus Christi city, Texas"
741212222.2420431,"Costa Mesa city, California"
11110123147.845888,"Dallas city, Texas"
587225133.5698047,"Daly City city, California"
503885017.3169363,"Davenport city, Iowa"
1023212179.3680649,"Davie town, Florida"
658142133.1771187,"Dayton city, Ohio"
1058160100.2288111,"Denton city, Texas"
3465457707.7921104,"Denver city, Colorado"
861221789.5105674,"Des Moines city, Iowa"
3667132832.782215,"Detroit city, Michigan"
707552115.249496,"Downey city, California"
1407834324.8485537,"Durham city, North Carolina"
662254103.0577416,"East Los Angeles CDP, California"
324842652.77385646,"El Cajon city, California"
341419366.87055165,"El Monte city, California"
3117303129.7934065,"El Paso city, Texas"
340758684.6269648,"Elgin city, Illinois"
771894654.5570368,"Elizabeth city, New Jersey"
226929053.15972552,"Elk Grove city, California"
928646135.8653576,"Enterprise CDP, Nevada"
644855188.0010837,"Escondido city, California"
